title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,director,type
Sand Castle,(2017),TV-MA,113 min,"Action, Drama, War",6.3,"The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction, and horrors of war.","['Fernando Coimbra', '| ', '    Stars:', 'Nicholas Hoult, ', 'Logan Marshall-Green, ', 'Henry Cavill, ', 'Glen Powell']","23,637",United States,s5523,Fernando Coimbra,Movie
Malcolm & Marie,(2021),R,106 min,"Drama, Romance",6.6,A director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night.,"['Sam Levinson', '| ', '    Stars:', 'John David Washington, ', 'Zendaya']","37,062",United States,s1342,Sam Levinson,Movie
Holidate,(2020),TV-MA,104 min,"Comedy, Romance",6.1,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.","['John Whitesell', '| ', '    Stars:', 'Emma Roberts, ', 'Luke Bracey, ', 'Kristin Chenoweth, ', 'Frances Fisher']","64,848",United States,s1786,John Whitesell,Movie
We Can Be Heroes,(II) (2020),PG,100 min,"Action, Comedy, Drama",4.7,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.","['Robert Rodriguez', '| ', '    Stars:', 'YaYa Gosselin, ', 'Pedro Pascal, ', 'Priyanka Chopra Jonas, ', 'Lyon Daniels']","14,971",United States,s1495,Robert Rodriguez,Movie
The Croods,(2013),PG,98 min,"Animation, Adventure, Comedy",7.2,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.","['Kirk DeMicco, ', 'Chris Sanders', '| ', '    Stars:', 'Nicolas Cage, ', 'Ryan Reynolds, ', 'Emma Stone, ', 'Catherine Keener']","214,351",United States,s8259,"Kirk De Micco, Chris Sanders",Movie
Mirage,(2018),TV-MA,128 min,"Drama, Fantasy, Mystery",7.4,Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.,"['Oriol Paulo', '| ', '    Stars:', 'Adriana Ugarte, ', 'Chino Darín, ', 'Javier Gutiérrez, ', 'Álvaro Morte']","55,701",Spain,s3983,Oriol Paulo,Movie
Project Power,(2020),R,113 min,"Action, Crime, Sci-Fi",6.0,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.","['Henry Joost, ', 'Ariel Schulman', '| ', '    Stars:', 'Jamie Foxx, ', 'Joseph Gordon-Levitt, ', 'Dominique Fishback, ', 'Rodrigo Santoro']","88,089",United States,s2133,"Henry Joost, Ariel Schulman",Movie
To the Lake,(I) (2019– ),TV-MA,48 min,"Drama, Sci-Fi, Thriller",7.2,A terrible plague strikes and a group decides to risk their lives. Humanity struggles to survive as they face the end of their civilization.,"['Kirill Käro, ', 'Maryana Spivak, ', 'Natalya Zemtsova, ', 'Eldar Kalimulin']","13,051",Russia,s1881,Pavel Kostomarov,TV Show
The Cloverfield Paradox,(2018),PG-13,102 min,"Action, Horror, Sci-Fi",5.5,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.","['Julius Onah', '| ', '    Stars:', 'Gugu Mbatha-Raw, ', 'David Oyelowo, ', 'Daniel Brühl, ', 'John Ortiz']","105,228",United States,s5048,Julius Onah,Movie
Miracle in Cell No. 7,(2019),TV-14,132 min,Drama,8.2,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,"['Mehmet Ada Öztekin', '| ', '    Stars:', 'Aras Bulut Iynemli, ', 'Nisa Sofiya Aksongur, ', 'Deniz Baysal, ', 'Celile Toyon Uysal']","48,567",Turkey,s2824,Mehmet Ada Öztekin,Movie
Blue Jasmine,(2013),PG-13,98 min,"Comedy, Drama",7.3,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks like a million dollars but isn't bringing money, peace or love.","['Woody Allen', '| ', '    Stars:', 'Cate Blanchett, ', 'Alec Baldwin, ', 'Peter Sarsgaard, ', 'Sally Hawkins']","202,975",United States,s6340,Woody Allen,Movie
The Wrong Missy,(2020),TV-MA,90 min,"Comedy, Romance",5.7,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.","['Tyler Spindel', '| ', '    Stars:', 'David Spade, ', 'Lauren Lapkus, ', 'Nick Swardson, ', 'Geoff Pierson']","39,860",United States,s2541,Tyler Spindel,Movie
Mr. Sunshine,(2018),TV-MA,80 min,"Action, Drama, History",8.7,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,"['Lee Byung-hun, ', 'Kim Tae-ri, ', 'Yoo Yeon-Seok, ', 'Yo-Han Byun']","7,620",South Korea,s4780,Lee Eung-bok,TV Show
The Ice Road,(2021),PG-13,109 min,"Action, Adventure, Thriller",5.6,"After a remote diamond mine collapses in far northern Canada, a 'big-rig' ice road driver must lead an impossible rescue mission over a frozen lake to save the trapped miners.","['Jonathan Hensleigh', '| ', '    Stars:', 'Liam Neeson, ', 'Marcus Thomas, ', 'Laurence Fishburne, ', 'Amber Midthunder']","40,567","United States, Canada",s637,Jonathan Hensleigh,Movie
Forgotten,(2017),TV-MA,108 min,"Mystery, Thriller",7.4,"When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping.","['Hang-jun Jang', '| ', '    Stars:', 'Kang Ha-neul, ', 'Yeon Je Hyung, ', 'Mu-Yeol Kim, ', 'Na-ra Lee']","33,550",South Korea,s5032,Hang-Jun Jang,Movie
Hillbilly Elegy,(2020),R,116 min,Drama,6.7,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.","['Ron Howard', '| ', '    Stars:', 'Amy Adams, ', 'Glenn Close, ', 'Gabriel Basso, ', 'Haley Bennett']","42,262",United States,s1657,Ron Howard,Movie
White Girl,(2016),TV-MA,88 min,"Crime, Drama",5.7,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.","['Elizabeth Wood', '| ', '    Stars:', 'Morgan Saylor, ', 'Brian Marc, ', 'Justin Bartha, ', 'Adrian Martinez']","10,974",United States,s5695,Elizabeth Wood,Movie
Spenser Confidential,(2020),R,111 min,"Action, Comedy, Drama",6.2,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals.","['Peter Berg', '| ', '    Stars:', 'Mark Wahlberg, ', 'Winston Duke, ', 'Alan Arkin, ', 'Iliza Shlesinger']","88,002",United States,s2837,Peter Berg,Movie
The F**k-It List,(2020),TV-MA,103 min,Comedy,5.1,"After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.","['Michael Duggan', '| ', '    Stars:', 'Eli Brown, ', 'Madison Iseman, ', 'Marcus Scribner, ', 'Karan Brar']","6,447",United States,s2316,Michael Duggan,Movie
Mirror Mirror,(I) (2012),PG,106 min,"Adventure, Comedy, Drama",5.6,An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,"['Tarsem Singh', '| ', '    Stars:', 'Lily Collins, ', 'Julia Roberts, ', 'Armie Hammer, ', 'Nathan Lane']","88,003","United States, Canada",s7462,Tarsem Singh,Movie
Eli,(I) (2019),R,98 min,"Drama, Horror, Mystery",5.8,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,"['Ciarán Foy', '| ', '    Stars:', 'Charlie Shotwell, ', 'Kelly Reilly, ', 'Max Martini, ', 'Lili Taylor']","36,030",United States,s3399,Ciarán Foy,Movie
Total Recall,(I) (2012),PG-13,118 min,"Action, Adventure, Sci-Fi",6.2,"A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.","['Len Wiseman', '| ', '    Stars:', 'Colin Farrell, ', 'Bokeem Woodbine, ', 'Bryan Cranston, ', 'Kate Beckinsale']","254,640","United States, Mexico",s2318,Paul Verhoeven,Movie
The Adventures of Sharkboy and Lavagirl 3-D,(2004),PG,93 min,"Action, Adventure, Comedy",3.6,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.,"['Robert Rodriguez', '| ', '    Stars:', 'Cayden Boyd, ', 'George Lopez, ', 'Kristin Davis, ', 'David Arquette']","38,137",United States,s8184,Robert Rodriguez,Movie
Takers,(2010),PG-13,107 min,"Action, Crime, Drama",6.2,A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,"['John Luessenhop', '| ', '    Stars:', 'Chris Brown, ', 'Hayden Christensen, ', 'Matt Dillon, ', 'Michael Ealy']","62,903",United States,s1136,John Luessenhop,Movie
Velvet Buzzsaw,(2019),R,113 min,"Horror, Mystery, Thriller",5.7,"A satire set in the contemporary art world scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.","['Dan Gilroy', '| ', '    Stars:', 'Jake Gyllenhaal, ', 'Rene Russo, ', 'Zawe Ashton, ', 'Tom Sturridge']","61,331",United States,s4147,Dan Gilroy,Movie
Bright,(I) (2017),TV-MA,117 min,"Action, Fantasy, Thriller",6.3,A detective must work with an Orc to find a powerful wand before evil creatures do.,"['David Ayer', '| ', '    Stars:', 'Will Smith, ', 'Joel Edgerton, ', 'Noomi Rapace, ', 'Edgar Ramírez']","188,766",United States,s5114,David Ayer,Movie
The Highwaymen,(2019),R,132 min,"Biography, Crime, Drama",6.9,The untold true story of the legendary detectives who brought down Bonnie and Clyde.,"['John Lee Hancock', '| ', '    Stars:', 'Kevin Costner, ', 'Woody Harrelson, ', 'Kathy Bates, ', 'John Carroll Lynch']","91,163",United States,s3967,John Lee Hancock,Movie
Child's Play,(2019),R,90 min,"Drama, Horror, Sci-Fi",5.7,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature.","['Lars Klevberg', '| ', '    Stars:', 'Tim Matheson, ', 'Ben Daon, ', 'Zahra Anderson, ', 'Serge Jaswal']","51,894",United States,s6469,Tom Holland,Movie
Fatherhood,(I) (2021),PG-13,109 min,"Comedy, Drama",6.6,A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.,"['Paul Weitz', '| ', '    Stars:', 'Kevin Hart, ', 'Alfre Woodard, ', 'Lil Rel Howery, ', 'DeWanda Wise']","37,606",United States,s686,Paul Weitz,Movie
Spy Kids 3: Game Over,(2003),PG,84 min,"Action, Adventure, Comedy",4.3,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.","['Robert Rodriguez', '| ', '    Stars:', 'Daryl Sabara, ', 'Alexa PenaVega, ', 'Antonio Banderas, ', 'Carla Gugino']","60,653",United States,s8077,Robert Rodriguez,Movie
All the Bright Places,(2020),TV-MA,107 min,"Drama, Romance",6.5,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.","['Brett Haley', '| ', '    Stars:', 'Elle Fanning, ', 'Justice Smith, ', 'Alexandra Shipp, ', ""Kelli O'Hara""]","31,536",United States,s2868,Brett Haley,Movie
A Classic Horror Story,(2021),TV-MA,95 min,"Drama, Horror, Mystery",5.7,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","['Roberto De Feo, ', 'Paolo Strippoli', '| ', '    Stars:', 'Matilda Anna Ingrid Lutz, ', 'Francesco Russo, ', 'Peppino Mazzotta, ', 'Will Merrick']","18,171",Italy,s464,"Roberto De Feo, Paolo Strippoli",Movie
Awake,(III) (2021),TV-MA,96 min,"Action, Adventure, Drama",4.9,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.","['Mark Raso', '| ', '    Stars:', 'Gina Rodriguez, ', 'Ariana Greenblatt, ', 'Lucius Hoyos, ', 'Shamier Anderson']","21,862",United States,s747,Mark Raso,Movie
Mudbound,(2017),R,134 min,"Drama, War",7.4,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.","['Dee Rees', '| ', '    Stars:', 'Jason Mitchell, ', 'Carey Mulligan, ', 'Jason Clarke, ', 'Mary J. Blige']","49,339",United States,s5168,Dee Rees,Movie
Zoo,(2015–2017),TV-14,42 min,"Drama, Mystery, Sci-Fi",6.6,A young scientist searches to find out what's causing a rash of violent animal attacks.,"['James Wolk, ', 'Kristen Connolly, ', 'Nonso Anozie, ', 'Billy Burke']","24,869",India,s4803,Shlok Sharma,Movie
Oxygen,(2021),TV-14,100 min,"Drama, Fantasy, Sci-Fi",6.5,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.","['Alexandre Aja', '| ', '    Stars:', 'Mélanie Laurent, ', 'Mathieu Amalric, ', 'Malik Zidi, ', 'Laura Boujenah']","38,611","France, United States",s896,Alexandre Aja,Movie
#Alive,(2020),TV-MA,98 min,"Action, Drama, Horror",6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","['Il Cho', '| ', '    Stars:', 'Yoo Ah-in, ', 'Park Shin-Hye, ', 'Jeon Bae-soo, ', 'Hyun-Wook Lee']","39,285",South Korea,s2037,Cho Il,Movie
Sweet Girl,(2021),R,110 min,"Action, Drama, Thriller",5.5,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,"['Brian Andrew Mendoza', '| ', '    Stars:', 'Jason Momoa, ', 'Isabela Merced, ', 'Manuel Garcia-Rulfo, ', 'Adria Arjona']","31,856",United States,s248,Brian Andrew Mendoza,Movie
The Forest,(2017),TV-MA,313 min,"Crime, Drama",7.2,"Sixteen-year-old Jennifer disappears one night from her village in the Ardennes. Captain Gaspard Deker leads the investigation with local cop Virginie Musso, who knew the girl well. They are helped by Eve, a lonely and mysterious woman.","['Samuel Labarthe, ', 'Suzanne Clément, ', 'Alexia Barlier, ', 'Frédéric Diefenthal']","10,638",United States,s2909,Jason Zada,Movie
Unknown,(I) (2011),PG-13,113 min,"Action, Mystery, Thriller",6.8,"When a man awakens from a coma only to discover that someone has taken on his identity, he teams up with a young woman to prove who he is.","['Jaume Collet-Serra', '| ', '    Stars:', 'Liam Neeson, ', 'Diane Kruger, ', 'January Jones, ', 'Aidan Quinn']","261,643","United Kingdom, Germany, France, United States",s1468,Jaume Collet-Serra,Movie
An Easy Girl,(2019),TV-MA,92 min,"Comedy, Drama",5.6,"Naima is 16 and lives in Cannes. She has given herself the summer to choose what she wants to do with her life. Then her cousin Sofia, with her alluring lifestyle, arrives to spend the holidays with her.","['Rebecca Zlotowski', '| ', '    Stars:', 'Mina Farid, ', 'Zahia Dehar, ', 'Benoît Magimel, ', 'Nuno Lopes']","5,226",France,s2138,Rebecca Zlotowski,Movie
Kingdom,(2012– ),TV-MA,2 Seasons,"Animation, Action, Drama",8.4,"In ancient China, a young boy dreams of becoming the greatest general of the Qin Kingdom.","['Francesca Calo, ', 'Francesca Calo, ', 'Melissa Medina, ', 'Alex Mai']","1,984","South Korea, United States",s2822,Kim Seong-hun,TV Show
In the Tall Grass,(2019),TV-MA,101 min,"Horror, Mystery, Sci-Fi",5.4,"After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Kansas but soon discover there may be no way out...and that something evil lurks within.","['Vincenzo Natali', '| ', '    Stars:', 'Laysla De Oliveira, ', 'Avery Whitted, ', 'Patrick Wilson, ', 'Will Buie Jr.']","56,339","Canada, United States",s3451,Vincenzo Natali,Movie
Julie and the Phantoms,(2020),TV-G,1 Season,"Adventure, Comedy, Drama",8.4,"Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be.","['Madison Reyes, ', 'Charlie Gillespie, ', 'Owen Patrick Joyner, ', 'Jeremy Shada']","10,039",United States,s2023,Kenny Ortega,TV Show
Someone Great,(2019),R,92 min,"Comedy, Romance",6.1,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.","['Jennifer Kaytin Robinson', '| ', '    Stars:', 'Gina Rodriguez, ', 'LaKeith Stanfield, ', 'Brittany Snow, ', 'DeWanda Wise']","22,717",United States,s3904,Jennifer Kaytin Robinson,Movie
Lost Girls,(2020),R,95 min,"Crime, Drama, Mystery",6.1,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","['Liz Garbus', '| ', '    Stars:', 'Amy Ryan, ', 'Thomasin McKenzie, ', 'Gabriel Byrne, ', 'Lola Kirke']","21,978",United States,s2823,Liz Garbus,Movie
Pine Gap,(2018),TV-MA,360 min,"Drama, Mystery, Thriller",7.1,"Set in the intensely secretive world of intelligence and the enigmatic US/Australia joint defence facility in central Australia, the spy-thriller Pine Gap delves into the famously strong alliance between the two countries.","['Parker Sawyers, ', 'Jacqueline McKenzie, ', 'Steve Toussaint, ', 'Tess Haubrich']","5,163",Australia,s4322,Mat King,TV Show
Thunder Force,(2021),PG-13,106 min,"Action, Adventure, Comedy",4.5,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.","['Ben Falcone', '| ', '    Stars:', 'Melissa McCarthy, ', 'Octavia Spencer, ', 'Jason Bateman, ', 'Bobby Cannavale']","41,955",United States,s1089,Ben Falcone,Movie
Limitless,(2015–2016),TV-14,42 min,"Comedy, Crime, Drama",7.6,An average 28-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant.,"['Jake McDorman, ', 'Jennifer Carpenter, ', 'Hill Harper, ', 'Mary Elizabeth Mastrantonio']","67,426",India,s3469,Vrinda Samartha,Movie
The Silence,(II) (2019),PG-13,90 min,"Drama, Horror, Sci-Fi",5.3,"When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.","['John R. Leonetti', '| ', '    Stars:', 'Stanley Tucci, ', 'Kiernan Shipka, ', 'Miranda Otto, ', 'Kate Trotter']","45,389","Canada, Germany",s3931,John R. Leonetti,Movie
Devilman: Crybaby,(2018),TV-MA,25 min,"Animation, Action, Drama",7.6,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.","['Koki Uchiyama, ', 'Ayumu Murase, ', 'Kyle McCarley, ', 'Griffin Burns']","20,303",Japan,s5093,Masaaki Yuasa,TV Show
Calibre,(2018),TV-MA,101 min,"Drama, Thriller",6.8,A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.,"['Matt Palmer', '| ', '    Stars:', 'Jack Lowden, ', 'Martin McCann, ', 'Tony Curran, ', 'Ian Pirie']","29,430",United Kingdom,s4807,Matt Palmer,Movie
Hot Girls Wanted,(2015),TV-MA,84 min,Documentary,6.1,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,"['Jill Bauer, ', 'Ronna Gradus', '| ', '    Stars:', 'Tressa Silguero, ', 'Riley Reynolds, ', 'Rachel Bernard, ', 'John Anthony']","17,679",United States,s5911,"Jill Bauer, Ronna Gradus",Movie
Klaus,(2019),PG,96 min,"Animation, Adventure, Comedy",8.1,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","['Sergio Pablos, ', 'Carlos Martínez López', '| ', '    Stars:', 'Jason Schwartzman, ', 'J.K. Simmons, ', 'Rashida Jones, ', 'Will Sasso']","146,975","Spain, United Kingdom",s3274,Sergio Pablos,Movie
Boyka: Undisputed,(2016 Video),R,86 min,"Action, Drama, Sport",6.9,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.","['Todor Chapkanov', '| ', '    Stars:', 'Scott Adkins, ', 'Teodora Duhovnikova, ', 'Alon Aboutboul, ', 'Julian Vergov']","29,267","Bulgaria, United States",s329,Todor Chapkanov,Movie
Before I Wake,(2016),PG-13,97 min,"Drama, Fantasy, Horror",6.2,A couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,"['Mike Flanagan', '| ', '    Stars:', 'Kate Bosworth, ', 'Oleksandr Reshetilov, ', 'Thomas Jane, ', 'Jacob Tremblay']","46,899",United States,s5092,Mike Flanagan,Movie
Horse Girl,(I) (2020),R,103 min,"Drama, Mystery, Thriller",5.9,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","['Jeff Baena', '| ', '    Stars:', 'Alison Brie, ', 'Molly Shannon, ', 'Goldenite, ', 'Stella Chestnut']","17,923",United States,s2940,Jeff Baena,Movie
Operation Finale,(2018),PG-13,122 min,"Biography, Drama, History",6.6,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.,"['Chris Weitz', '| ', '    Stars:', 'Oscar Isaac, ', 'Ben Kingsley, ', 'Mélanie Laurent, ', 'Lior Raz']","42,606",United States,s1289,Chris Weitz,Movie
To the Bone,(I) (2017),TV-MA,107 min,Drama,6.8,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.","['Marti Noxon', '| ', '    Stars:', 'Rebekah Kennedy, ', 'Lily Collins, ', 'Dana L. Wilson, ', 'Ziah Colon']","49,505",United States,s5378,Marti Noxon,Movie
The Red Sea Diving Resort,(2019),TV-MA,129 min,"Drama, History, Thriller",6.6,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,"['Gideon Raff', '| ', '    Stars:', 'Mbulelo Grootboom, ', 'Sizo Mahlangu, ', 'Michael Kenneth Williams, ', 'Masasa Mbangeni']","29,469",Canada,s3635,Gideon Raff,Movie
Hotel Transylvania 3: Summer Vacation,(2018),PG,97 min,"Animation, Adventure, Comedy",6.3,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","['Genndy Tartakovsky', '| ', '    Stars:', 'Adam Sandler, ', 'Andy Samberg, ', 'Selena Gomez, ', 'Kevin James']","73,751",United States,s7009,Genndy Tartakovsky,Movie
You Get Me,(2017),TV-MA,89 min,"Crime, Drama, Romance",4.7,"A one night stand turns into a nightmare for a High School student, when the obsession of a young woman grows dangerous.","['Brent Bonacorso', '| ', '    Stars:', 'Bella Thorne, ', 'Halston Sage, ', 'Taylor John Smith, ', 'Nash Grier']","13,225",United States,s5420,Brent Bonacorso,Movie
The Perfection,(2018),TV-MA,90 min,"Drama, Horror, Music",6.2,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.","['Richard Shepard', '| ', '    Stars:', 'Marie Maskell, ', 'Allison Williams, ', 'Christina Jastrzembska, ', 'Glynis Davies']","43,524",United States,s3801,Richard Shepard,Movie
Anon,(I) (2018),TV-MA,100 min,"Crime, Mystery, Sci-Fi",6.1,"In a world without anonymity or crime, a detective meets a woman who threatens their security.","['Andrew Niccol', '| ', '    Stars:', 'Clive Owen, ', 'Afiya Bennett, ', 'Morgan Allen, ', 'Jeffrey Men']","44,630","United Kingdom, Canada, United States, Germany",s4876,Andrew Niccol,Movie
Super Dark Times,(2017),Not Rated,103 min,"Crime, Drama, Horror",6.6,"Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.","['Kevin Phillips', '| ', '    Stars:', 'Owen Campbell, ', 'Charlie Tahan, ', 'Elizabeth Cappuccino, ', 'Amy Hargreaves']","23,376",United States,s8124,Kevin Phillips,Movie
Malevolent,(III) (2018),TV-MA,89 min,"Horror, Mystery, Thriller",4.8,A team of scam artists get more than they bargained for when a job at a haunted country estate gets out of hand.,"['Olaf de Fleur Johannesson', '| ', '    Stars:', 'Florence Pugh, ', 'Ben Lloyd-Hughes, ', 'Scott Chambers, ', 'Georgina Bevan']","14,116",United Kingdom,s4533,Olaf de Fleur,Movie
22 July,(2018),R,143 min,"Crime, Drama, History",6.8,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.","['Paul Greengrass', '| ', '    Stars:', 'Anders Danielsen Lie, ', 'Jonas Strand Gravli, ', 'Jon Øigarden, ', 'Maria Bock']","34,106","Norway, Iceland, United States",s4523,Paul Greengrass,Movie
Cam,(2018),TV-MA,94 min,"Drama, Horror, Mystery",5.9,"Alice, an ambitious camgirl, wakes up one day to discover she's been replaced on her show with an exact replica of herself.","['Daniel Goldhaber', '| ', '    Stars:', 'Madeline Brewer, ', 'Patch Darragh, ', 'Melora Walters, ', 'Devin Druid']","32,081",United States,s4383,Daniel Goldhaber,Movie
Mowgli: Legend of the Jungle,(2018),PG-13,104 min,"Adventure, Drama, Fantasy",6.5,"A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.","['Andy Serkis', '| ', '    Stars:', 'Christian Bale, ', 'Cate Blanchett, ', 'Benedict Cumberbatch, ', 'Naomie Harris']","62,142","United Kingdom, United States",s4320,Andy Serkis,Movie
The Package,(II) (2018),TV-MA,94 min,"Comedy, Thriller",5.5,"When a group of teenage friends go on a spring break camping trip, an unfortunate accident sets off a race against time to save their friend's most prized possession.","['Jake Szymanski', '| ', '    Stars:', 'Daniel Doheny, ', 'Geraldine Viswanathan, ', 'Sadie Calvano, ', 'Luke Spencer Roberts']","18,386",United States,s4707,Jake Szymanski,Movie
Wish Dragon,(2021),PG,98 min,"Animation, Adventure, Comedy",7.2,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,"['Chris Appelhans', '| ', '    Stars:', 'Jimmy Wong, ', 'John Cho, ', 'Constance Wu, ', 'Natasha Liu Bordizzo']","26,608","China, United States, Canada",s740,Chris Appelhans,Movie
The Professor and the Madman,(2019),Not Rated,124 min,"Biography, Drama, History",7.2,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.","['Farhad Safinia', '| ', '    Stars:', 'Mel Gibson, ', 'Sean Penn, ', 'Eddie Marsan, ', 'Natalie Dormer']","46,052","Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",s1550,Farhad Safinia,Movie
Circle,(II) (2015),Not Rated,87 min,"Drama, Horror, Mystery",6.0,"Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live.","['Aaron Hann, ', 'Mario Miscione', '| ', '    Stars:', 'Allegra Masters, ', 'Aimee McKay, ', 'Ashley Key, ', 'Autumn Federici']","56,467",United States,s5893,"Aaron Hann, Mario Miscione",Movie
Deadly Illusions,(2021),R,114 min,"Drama, Thriller",3.7,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.","['Anna Elizabeth James', '| ', '    Stars:', 'Dermot Mulroney, ', 'Kristin Davis, ', 'Shanola Hampton, ', 'Greer Grammer']","12,204",United States,s1188,Anna Elizabeth James,Movie
