title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,type
El Dragón: Return of a Warrior,(2019–2020),TV-MA,45 min,"Action, Adventure, Drama",6.8,"After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family's cartel.","['Sebastián Rulli, ', 'Renata Notni, ', 'Manuel Balbi, ', 'Cassandra Sanchez Navarro']","1,894",Mexico,s2670,TV Show
David Attenborough: A Life on Our Planet,(2020),PG,83 min,"Documentary, Biography",8.9,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,"['Alastair Fothergill, ', 'Jonathan Hughes, ', 'Keith Scholey', '| ', '    Stars:', 'David Attenborough, ', 'Max Hughes']","32,001","United States, United Kingdom",s1887,Movie
Red Dot,(2021),TV-MA,86 min,"Drama, Horror, Thriller",5.5,"When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.","['Alain Darborg', '| ', '    Stars:', 'Nanna Blondell, ', 'Anastasios Soulis, ', 'Thomas Hanzon, ', 'Johannes Kuhnke']","13,476",Sweden,s1326,Movie
The Chef Show,(2019– ),TV-14,30 min,Documentary,8.2,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.","['Jon Favreau, ', 'Roy Choi, ', 'Aaron Franklin, ', 'Andrew Rea']","5,174",United States,s1959,TV Show
Wheelman,(2017),TV-MA,82 min,"Action, Crime, Thriller",6.4,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"['Jeremy Rush', '| ', '    Stars:', 'Frank Grillo, ', 'Caitlin Carmichael, ', 'Garret Dillahunt, ', 'Shea Whigham']","20,704",United States,s5212,Movie
Midnight Diner: Tokyo Stories,(2016–2019),TV-14,24 min,Drama,8.4,An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.,"['Kaoru Kobayashi, ', 'Mansaku Fuwa, ', 'Asako Kobayashi, ', 'Joe Odagiri']","4,238",Japan,s525,TV Show
Ask the StoryBots,(2016–2019),TV-Y,24 min,"Animation, Adventure, Comedy",8.4,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions.","['Judy Greer, ', 'Erin Fitzgerald, ', 'Fred Tatasciore, ', 'Jeff Gill']",904,United States,s510,TV Show
Hoops,(2020),TV-MA,25 min,"Animation, Comedy, Sport",6.0,"Centers on a hot-headed, foul-mouthed high school basketball coach who thinks turning around his godawful team will take him to the ""big leagues.""","['Jake Johnson, ', 'Ron Funches, ', 'Cleo King, ', 'Natasha Leggero']","6,367",United States,s2106,TV Show
The Boss Baby: Back in Business,(2018–2021),TV-Y7,25 min,"Animation, Adventure, Comedy",6.4,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","['JP Karliak, ', 'David W. Collins, ', 'Flula Borg, ', 'Pierce Gagnon']","3,810",United States,s1688,TV Show
Family Business,(2019–2021),TV-MA,2 Seasons,Comedy,7.4,"Learning that cannabis will be legalized, Joseph, a failed entrepreneur, decides to transform, with the help of his family and friends, the kosher butcher shop of his father and open the first marijuana coffeeshop in France.","['Jonathan Cohen, ', 'Gérard Darmon, ', 'Julia Piaton, ', 'Liliane Rovère']","4,180",France,s2009,TV Show
The Irregular at Magic High School,(2014– ),TV-14,22 min,"Animation, Action, Drama",7.1,Siblings Miyuki and Tatsuya Shiba are turning the National Magic University Affiliated First High School campus upside down.,"['Yûichi Nakamura, ', 'Saori Hayami, ', 'Yumi Uchiyama, ', 'Kana Hanazawa']","3,455",Japan,s5170,TV Show
The Princess Switch 3,(2021),TV-PG,106 min,"Comedy, Drama, Family",5.5,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.","['Mike Rohl', '| ', '    Stars:', 'Vanessa Hudgens, ', 'Remy Hii, ', 'Sam Palladio, ', 'Nick Sagar']","5,921",United States,s4387,Movie
Benji,(I) (2018),TV-PG,87 min,"Crime, Drama, Family",6.3,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.","['Brandon Camp', '| ', '    Stars:', 'Gabriel Bateman, ', 'Darby Camp, ', 'Kiele Sanchez, ', 'Gralen Bryant Banks']","4,861","United Arab Emirates, United States",s4978,Movie
Nobody Sleeps in the Woods Tonight 2,(2021),TV-MA,96 min,"Comedy, Horror, Thriller",3.9,"When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.","['Bartosz M. Kowalski', '| ', '    Stars:', 'Mateusz Wieclawek, ', 'Julia Wieniawa-Narkiewicz, ', 'Zofia Wichlacz, ', 'Andrzej Grabowski']","3,814",Poland,s1789,Movie
A Fortunate Man,(2018),TV-14,162 min,"Drama, Romance",7.2,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.","['Bille August', '| ', '    Stars:', 'Esben Smed, ', 'Katrine Greis-Rosenthal, ', 'Benjamin Kitter, ', 'Julie Christiansen']","6,337",Denmark,s3895,Movie
Jungle Beat: The Movie,(2020),G,88 min,"Animation, Adventure, Comedy",5.4,A homesick alien crash-lands his spaceship near the colorful African Jungle. His new animal friends need to get him back to his ship and teach him about friendship and fun before his Space-Conqueror father can take over the planet.,"['Brent Dawes', '| ', '    Stars:', 'David Menkin, ', 'David Rintoul, ', 'Gavin Peter, ', 'Florrie Wilkinson']","1,058",Mauritius,s883,Movie
The Trap,(III) (2019),TV-MA,90 min,Comedy,4.3,A man returns home to Atlanta to help his brother's struggling restaurant.,"['Erik White', '| ', '    Stars:', 'T.I., ', 'Mike Epps, ', 'Loretta Devine, ', 'Brian J. Pitt']","1,701",United States,s3958,Movie
The Crowned Clown,(2019),TV-14,80 min,"Drama, History, Romance",8.0,"The story takes place in Joseon period, when power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the King puts a clown, who looks exactly like him, on the throne.","['Yeo Jin-gu, ', 'Se-yeong Lee, ', 'Kim Sang-kyung, ', 'Hae-hyo Kwon']","1,013",South Korea,s290,TV Show
